age,emptype,fnlwgt,educ,marital,attached,occupation,sex,capitalgain,capitalloss,hrperweek,income
Elder,Gov,77516,Bachelors,Single,No,Admclerical,M,L,VL,L,Low
Eldest,Self,83311,Bachelors,Couple,No,Execmanagerial,M,VL,VL,VL,Low
Elder,Self,215646,HighSchool,Single,No,Handlerscleaners,M,VL,VL,L,Low
Young,Self,284582,Master,Couple,No,Execmanagerial,F,VL,VL,L,Low
Eldest,Self,209642,HighSchool,Couple,No,Execmanagerial,M,VL,VL,M,High
Young,Self,45781,Master,Single,No,Profspecialty,F,H,VL,M,High
Elder,Self,159449,Bachelors,Couple,No,Execmanagerial,M,M,VL,L,High
Youngest,Self,122272,Bachelors,Single,No,Admclerical,F,VL,VL,VL,Low
Youngest,Self,176756,HighSchool,Single,No,Farmingfishing,M,VL,VL,VL,Low
Young,Self,186824,HighSchool,Single,No,Machineopinspct,M,VL,VL,L,Low
Elder,Self,28887,Dropout,Couple,No,Sales,M,VL,VL,M,Low
Elder,Self,292175,Master,Single,No,Execmanagerial,F,VL,VL,M,High
Elder,Self,193524,Master,Couple,No,Profspecialty,M,VL,VL,H,High
Elder,Self,117037,Dropout,Couple,No,Transportmoving,M,VL,VH,L,Low
Eldest,Self,109015,HighSchool,Single,No,Techsupport,F,VL,VL,L,Low
Eldest,Gov,216851,Bachelors,Couple,No,Techsupport,M,VL,VL,L,High
Youngest,Self,168294,HighSchool,Single,No,Craftrepair,M,VL,VL,L,Low
Elder,Self,367260,HighSchool,Single,No,Execmanagerial,M,VL,VL,VH,Low
Eldest,Self,193366,HighSchool,Couple,No,Craftrepair,M,VL,VL,L,Low
Youngest,Gov,190709,Bachelors,Single,No,Protectiveserv,M,VL,VL,M,Low
Elder,Self,386940,Bachelors,Single,No,Execmanagerial,M,VL,L,L,Low
Young,Gov,59951,HighSchool,Couple,Yes,Admclerical,M,VL,VL,L,Low
Youngest,Self,197200,HighSchool,Single,No,Machineopinspct,M,VL,VL,L,Low
Youngest,Self,544091,HighSchool,Couple,No,Admclerical,F,VL,VL,VL,Low
Eldest,Self,265477,Bachelors,Couple,No,Profspecialty,M,VL,VL,L,Low
Young,Self,507875,Dropout,Couple,No,Machineopinspct,M,VL,VL,L,Low
Eldest,Self,88506,Bachelors,Couple,No,Profspecialty,M,VL,VL,L,Low
Youngest,Self,172987,Bachelors,Couple,No,Techsupport,M,VL,VL,M,Low
Eldest,Self,94638,HighSchool,Single,No,Admclerical,F,VL,VL,L,Low
Youngest,Self,289980,HighSchool,Single,No,Handlerscleaners,M,VL,VL,VL,Low
Eldest,Self,144361,HighSchool,Couple,No,Machineopinspct,M,VL,VL,VL,Low
Elder,Self,128354,Master,Single,No,Execmanagerial,F,VL,VL,L,Low
Elder,Gov,101603,Bachelors,Couple,No,Craftrepair,M,VL,VL,L,Low
Young,Self,271466,Bachelors,Single,No,Profspecialty,M,VL,VL,L,Low
Eldest,Gov,251585,Bachelors,Single,No,Execmanagerial,M,VL,VL,M,High
Elder,Self,109832,HighSchool,Single,No,Execmanagerial,M,VL,VL,H,Low
Elder,Self,237993,HighSchool,Couple,No,Techsupport,M,VL,VL,L,High
Elder,Self,147372,HighSchool,Couple,No,Admclerical,M,VL,VL,M,Low
Young,Self,188146,HighSchool,Couple,No,Machineopinspct,M,M,VL,L,Low
Young,Self,59496,Bachelors,Couple,No,Sales,M,L,VL,L,Low
Eldest,Self,149640,HighSchool,Couple,No,Transportmoving,M,VL,VL,L,Low
Elder,Self,116632,Master,Couple,No,Profspecialty,M,VL,VL,M,High
Young,Self,105598,HighSchool,Single,No,Techsupport,M,VL,VL,M,Low
Young,Self,155537,HighSchool,Couple,No,Craftrepair,M,VL,VL,L,Low
Youngest,Self,183175,HighSchool,Single,No,Admclerical,F,VL,VL,L,Low
Eldest,Self,169846,HighSchool,Couple,No,Admclerical,F,VL,VL,L,High
Eldest,Self,191681,HighSchool,Couple,No,Execmanagerial,M,VL,VL,M,High
Youngest,Self,101509,HighSchool,Single,No,Profspecialty,M,VL,VL,VL,Low
Young,Self,162298,Bachelors,Couple,No,Sales,M,VL,VL,H,High
Youngest,Self,211678,HighSchool,Single,No,Machineopinspct,M,VL,VL,L,Low
Elder,Self,32214,Bachelors,Couple,No,Admclerical,M,VL,VL,L,Low
Young,Gov,125927,Dropout,Couple,No,Farmingfishing,M,VL,VL,L,Low
Youngest,Self,446839,HighSchool,Single,No,Sales,M,VL,VL,VL,Low
Eldest,Self,159937,HighSchool,Couple,No,Sales,M,VL,VL,M,Low
Elder,Self,343591,HighSchool,Single,No,Craftrepair,F,VH,VL,L,High
Eldest,Self,346253,HighSchool,Single,No,Sales,F,VL,VL,VL,Low
Eldest,Gov,268234,HighSchool,Couple,No,Protectiveserv,M,VL,VL,L,High
Young,Self,202051,Master,Couple,No,Profspecialty,M,VL,VL,M,Low
Young,Self,54334,Dropout,Single,No,Sales,M,VL,VL,L,Low
Elder,Gov,410867,Master,Single,No,Profspecialty,F,VL,VL,M,High
Eldest,Self,249977,Bachelors,Couple,No,Profspecialty,M,VL,VL,L,Low
Young,Self,286730,HighSchool,Single,No,Craftrepair,F,VL,VL,L,Low
Young,Gov,226296,Bachelors,Couple,No,Protectiveserv,M,VL,VL,L,High
Young,Gov,115585,HighSchool,Single,No,Handlerscleaners,M,VL,VL,M,Low
Eldest,Self,191277,Master,Couple,No,Profspecialty,M,VL,H,H,High
Young,Self,202683,HighSchool,Couple,No,Sales,M,VL,VL,M,High
Eldest,Self,124191,Master,Couple,No,Execmanagerial,M,VL,VL,L,High
Elder,Self,198282,Bachelors,Couple,No,Execmanagerial,M,VH,VL,H,High
Elder,Self,149116,Master,Single,No,Profspecialty,F,VL,VL,M,Low
Youngest,Self,188300,HighSchool,Single,No,Techsupport,F,VL,VL,L,Low
Young,Self,103432,HighSchool,Single,No,Craftrepair,M,VL,VL,L,Low
Young,Self,317660,HighSchool,Couple,No,Craftrepair,M,H,VL,L,High
Young,Self,194901,Dropout,Single,No,Handlerscleaners,M,VL,VL,L,Low
Young,Gov,189265,HighSchool,Single,No,Admclerical,F,VL,VL,L,Low
Elder,Self,124692,HighSchool,Couple,No,Handlerscleaners,M,VL,VL,L,Low
Elder,Self,65324,Master,Couple,No,Profspecialty,M,VL,VL,L,High
Youngest,Self,377869,HighSchool,Couple,No,Sales,F,M,VL,VL,Low
Young,Self,102864,HighSchool,Single,No,Machineopinspct,F,VL,VL,L,Low
Eldest,Self,95647,Dropout,Couple,No,Handlerscleaners,M,VL,VL,M,Low
Eldest,Self,303090,HighSchool,Couple,No,Sales,M,VL,VL,M,Low
Eldest,Self,247552,HighSchool,Couple,No,Sales,M,VL,VL,M,Low
Youngest,Self,102632,HighSchool,Single,No,Craftrepair,M,VL,VL,L,Low
Elder,Self,118853,Bachelors,Couple,No,Execmanagerial,M,VL,VL,H,Low
Young,Gov,267989,Bachelors,Couple,No,Profspecialty,M,VL,VL,M,High
Elder,Self,287828,Bachelors,Couple,No,Execmanagerial,F,VL,VL,L,High
Youngest,Self,111697,HighSchool,Single,No,Admclerical,F,VL,M,VL,Low
Young,Self,114937,Bachelors,Couple,No,Admclerical,M,VL,VL,L,High
Elder,Self,365739,HighSchool,Single,No,Craftrepair,M,VL,VL,L,Low
Youngest,Self,69621,Bachelors,Single,No,Sales,F,VL,VL,H,Low
