"","age","emptype","fnlwgt","educ","marital","attached","occupation","sex","capitalgain","capitalloss","hrperweek","income"
"1",3,1,77516,3,2,1,"Admclerical",1,2,1,2,1
"2",4,2,83311,3,1,1,"Execmanagerial",1,1,1,1,1
"3",3,2,215646,2,2,1,"Handlerscleaners",1,1,1,2,1
"4",2,2,284582,4,1,1,"Execmanagerial",2,1,1,2,1
"5",4,2,209642,2,1,1,"Execmanagerial",1,1,1,3,2
"6",2,2,45781,4,2,1,"Profspecialty",2,4,1,3,2
"7",3,2,159449,3,1,1,"Execmanagerial",1,3,1,2,2
"8",1,2,122272,3,2,1,"Admclerical",2,1,1,1,1
"9",1,2,176756,2,2,1,"Farmingfishing",1,1,1,1,1
"10",2,2,186824,2,2,1,"Machineopinspct",1,1,1,2,1
"11",3,2,28887,1,1,1,"Sales",1,1,1,3,1
"12",3,2,292175,4,2,1,"Execmanagerial",2,1,1,3,2
"13",3,2,193524,4,1,1,"Profspecialty",1,1,1,4,2
"14",3,2,117037,1,1,1,"Transportmoving",1,1,5,2,1
"15",4,2,109015,2,2,1,"Techsupport",2,1,1,2,1
"16",4,1,216851,3,1,1,"Techsupport",1,1,1,2,2
"17",1,2,168294,2,2,1,"Craftrepair",1,1,1,2,1
"18",3,2,367260,2,2,1,"Execmanagerial",1,1,1,5,1
"19",4,2,193366,2,1,1,"Craftrepair",1,1,1,2,1
"20",1,1,190709,3,2,1,"Protectiveserv",1,1,1,3,1
"21",3,2,386940,3,2,1,"Execmanagerial",1,1,2,2,1
"22",2,1,59951,2,1,2,"Admclerical",1,1,1,2,1
"23",1,2,197200,2,2,1,"Machineopinspct",1,1,1,2,1
"24",1,2,544091,2,1,1,"Admclerical",2,1,1,1,1
"25",4,2,265477,3,1,1,"Profspecialty",1,1,1,2,1
"26",2,2,507875,1,1,1,"Machineopinspct",1,1,1,2,1
"27",4,2,88506,3,1,1,"Profspecialty",1,1,1,2,1
"28",1,2,172987,3,1,1,"Techsupport",1,1,1,3,1
"29",4,2,94638,2,2,1,"Admclerical",2,1,1,2,1
"30",1,2,289980,2,2,1,"Handlerscleaners",1,1,1,1,1
"31",4,2,144361,2,1,1,"Machineopinspct",1,1,1,1,1
"32",3,2,128354,4,2,1,"Execmanagerial",2,1,1,2,1
"33",3,1,101603,3,1,1,"Craftrepair",1,1,1,2,1
"34",2,2,271466,3,2,1,"Profspecialty",1,1,1,2,1
"35",4,1,251585,3,2,1,"Execmanagerial",1,1,1,3,2
"36",3,2,109832,2,2,1,"Execmanagerial",1,1,1,4,1
"37",3,2,237993,2,1,1,"Techsupport",1,1,1,2,2
"38",3,2,147372,2,1,1,"Admclerical",1,1,1,3,1
"39",2,2,188146,2,1,1,"Machineopinspct",1,3,1,2,1
"40",2,2,59496,3,1,1,"Sales",1,2,1,2,1
"41",4,2,149640,2,1,1,"Transportmoving",1,1,1,2,1
"42",3,2,116632,4,1,1,"Profspecialty",1,1,1,3,2
"43",2,2,105598,2,2,1,"Techsupport",1,1,1,3,1
"44",2,2,155537,2,1,1,"Craftrepair",1,1,1,2,1
"45",1,2,183175,2,2,1,"Admclerical",2,1,1,2,1
"46",4,2,169846,2,1,1,"Admclerical",2,1,1,2,2
"47",4,2,191681,2,1,1,"Execmanagerial",1,1,1,3,2
